Temps,Temperature_au_laser,Temperature_au_milieu,Temperature_a_lactuateur,Temperature_predit_au_laser
764,26.0220284364761,26.8932688544877,26.2825214183798,26.0224167159234
768,26.0220805026358,26.8933073642764,26.2825687246071,26.0224676955813
772,26.0221304792763,26.893344328452,26.2826141323292,26.0225166293224
776,26.0221784502523,26.8933798092234,26.2826577177366,26.0225635992519
780,26.0222244960536,26.8934138660645,26.282699553962,26.0226086841801
784,26.0222686939402,26.8934465561688,26.2827397112033,26.0226519597546
788,26.0223111180714,26.8934779342443,26.2827782568414,26.0226934985876
792,26.0223518396306,26.8935080530717,26.282815255553,26.0227333703769
796,26.0223909269447,26.8935369631727,26.2828507694194,26.0227716420237
800,26.0224284455986,26.8935647130195,26.2828848580303,26.0228083777444
804,26.0224644585452,26.8935913491847,26.2829175785843,26.0228436391783
808,26.0224990262111,26.8936169164362,26.2829489859843,26.0228774854911
812,26.0225322065982,26.8936414575797,26.2829791329299,26.022909973474
816,26.0225640553802,26.8936650137317,26.2830080700059,26.0229411576397
820,26.0225946259972,26.8936876246118,26.2830358457669,26.0229710903124
824,26.0226239697442,26.8937093280114,26.2830625068192,26.0229998217172
828,26.022652135858,26.8937301604043,26.2830880978984,26.0230274000633
832,26.0226791715994,26.8937501568016,26.2831126619449,26.0230538716253
836,26.0227051223324,26.8937693506014,26.2831362401759,26.0230792808205
840,26.0227300316008,26.8937877741394,26.2831588721543,26.0231036702841
844,26.0227539412005,26.8938054582978,26.2831805958556,26.0231270809401
848,26.0227768912506,26.893822432763,26.283201447731,26.02314955207
852,26.0227989202598,26.8938387260223,26.2832214627688,26.0231711213792
856,26.0228200651914,26.8938543653338,26.2832406745533,26.0231918250595
860,26.0228403615254,26.8938693770631,26.283259115321,26.0232116978507
864,26.022859843318,26.8938837862176,26.2832768160146,26.0232307730981
868,26.0228785432585,26.8938976171589,26.2832938063351,26.0232490828091
872,26.0228964927245,26.8939108930333,26.2833101147913,26.0232666577062
876,26.0229137218341,26.8939236361634,26.2833257687483,26.0232835272793
880,26.0229302594969,26.8939358677904,26.2833407944725,26.0232997198348
884,26.0229461334623,26.8939476085648,26.2833552171766,26.0233152625428
888,26.0229613703661,26.8939588781711,26.2833690610612,26.0233301814832
892,26.0229759957749,26.8939696954819,26.2833823493557,26.0233445016893
896,26.0229900342296,26.8939800786573,26.2833951043573,26.0233582471898
900,26.023003509286,26.8939900451931,26.2834073474684,26.0233714410489
904,26.0230164435547,26.8939996117186,26.2834190992324,26.0233841054055
908,26.0230288587386,26.894008794222,26.2834303793683,26.0233962615095
912,26.0230407756701,26.894017608305,26.2834412068036,26.0234079297586
916,26.023052214345,26.8940260686088,26.2834515997065,26.0234191297314
920,26.0230631939571,26.8940341893854,26.2834615755157,26.0234298802209
924,26.0230737329297,26.8940419843165,26.2834711509703,26.0234401992663
928,26.0230838489466,26.894049466326,26.2834803421375,26.0234501041823
932,26.0230935589822,26.8940566480981,26.2834891644397,26.0234596115889
936,26.0231028793294,26.8940635416517,26.2834976326805,26.0234687374391
940,26.0231118256275,26.8940701585669,26.2835057610691,26.0234774970458
944,26.0231204128879,26.8940765099517,26.2835135632446,26.0234859051073
948,26.0231286555198,26.8940826063809,26.283521052299,26.0234939757319
952,26.0231365673538,26.8940884582094,26.2835282407984,26.0235017224617
956,26.0231441616658,26.8940940750727,26.283535140805,26.0235091582956
960,26.0231514511988,26.8940994665803,26.2835417638966,26.0235162957105
964,26.0231584481842,26.8941046417172,26.2835481211867,26.0235231466827
968,26.0231651643627,26.8941096092148,26.2835542233423,26.0235297227081
972,26.0231716110038,26.8941143772629,26.2835600806029,26.0235360348206
976,26.0231777989248,26.894118953992,26.2835657027965,26.023542093612
980,26.0231837385087,26.8941233470649,26.2835710993571,26.0235479092486
984,26.0231894397219,26.8941275638151,26.2835762793399,26.0235534914888
988,26.0231949121308,26.8941316113276,26.2835812514367,26.0235588496994
992,26.0232001649179,26.8941354964672,26.2835860239905,26.0235639928714
996,26.0232052068973,26.8941392256577,26.2835906050094,26.0235689296347
1000,26.0232100465291,26.8941428050941,26.2835950021803,26.0235736682729
